Zipcode,ZipCodeType,City,State,LocationType,Lat,Long,Location,Region,TaxReturnsFiled,EstimatedPopulation,TotalWages
4631,STANDARD,EASTPORT,ME,PRIMARY,44.91,-67.01,NA-US-ME-EASTPORT,Northeast,602,991,"12,686,897.00"
4667,STANDARD,PERRY,ME,PRIMARY,44.97,-67.07,NA-US-ME-PERRY,Northeast,589,"1,078","15,333,343.00"
4652,STANDARD,LUBEC,ME,PRIMARY,44.79,-67.11,NA-US-ME-LUBEC,Northeast,768,"1,284","15,005,449.00"
4666,STANDARD,PEMBROKE,ME,PRIMARY,44.95,-67.16,NA-US-ME-PEMBROKE,Northeast,518,938,"12,104,476.00"
4671,STANDARD,ROBBINSTON,ME,PRIMARY,45.06,-67.16,NA-US-ME-ROBBINSTON,Northeast,,,
4691,STANDARD,WHITING,ME,PRIMARY,44.79,-67.17,NA-US-ME-WHITING,Northeast,,,
4619,STANDARD,CALAIS,ME,PRIMARY,45.13,-67.2,NA-US-ME-CALAIS,Northeast,"1,638","2,726","48,326,554.00"
4626,STANDARD,CUTLER,ME,PRIMARY,44.69,-67.21,NA-US-ME-CUTLER,Northeast,,,
4628,STANDARD,DENNYSVILLE,ME,PRIMARY,44.9,-67.22,NA-US-ME-DENNYSVILLE,Northeast,261,472,"6,159,976.00"
4657,STANDARD,MEDDYBEMPS,ME,PRIMARY,45.03,-67.35,NA-US-ME-MEDDYBEMPS,Northeast,,,
4655,STANDARD,MACHIASPORT,ME,PRIMARY,44.69,-67.39,NA-US-ME-MACHIASPORT,Northeast,412,732,"7,930,900.00"
4630,STANDARD,EAST MACHIAS,ME,PRIMARY,44.73,-67.39,NA-US-ME-EAST MACHIAS,Northeast,715,"1,265","18,677,898.00"
4491,PO BOX,VANCEBORO,ME,PRIMARY,45.56,-67.43,NA-US-ME-VANCEBORO,Northeast,,,
4606,STANDARD,ADDISON,ME,PRIMARY,45.08,-67.46,NA-US-ME-ADDISON,Northeast,517,907,"9,810,043.00"
4694,STANDARD,BAILEYVILLE,ME,PRIMARY,45.09,-67.46,NA-US-ME-BAILEYVILLE,Northeast,"1,132","2,014","34,263,926.00"
4654,STANDARD,MACHIAS,ME,PRIMARY,44.7,-67.47,NA-US-ME-MACHIAS,Northeast,"1,418","2,410","37,285,819.00"
4454,PO BOX,LAMBERT LAKE,ME,PRIMARY,45.54,-67.52,NA-US-ME-LAMBERT LAKE,Northeast,,,
4648,STANDARD,JONESBORO,ME,PRIMARY,44.66,-67.57,NA-US-ME-JONESBORO,Northeast,281,499,"6,626,537.00"
